op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
TRANSPOSE,628,150528.0,0.00542487,9.380551e-05,0.00932092,2.9469085e-05,0.018658448,-14,transpose_1
CONV_2D,632,602112.0,0.0145695275,-5.1540937e-05,0.047414422,0.00021245562,0.04795123,-4,Add;depthwise_2;convolution;Const_342
TRANSPOSE,636,602112.0,4.5060723e-08,-5.8556875e-09,4.7683716e-07,2.0910505e-15,0.04795123,-4,transpose_2
MEAN,640,3136.0,0.0006823559,-2.2115114e-06,0.0011875686,4.6585262e-07,0.0023765313,-24,onnx_tf_prefix_ReduceMean_1
SUB,644,602112.0,0.013961172,-0.0044871923,0.02822191,0.0002204509,0.047890652,-3,onnx_tf_prefix_Sub_2
MUL,648,602112.0,0.031309698,-0.0021774461,0.0753994,0.0009904822,0.15085098,-128,onnx_tf_prefix_Pow_4;onnx_tf_prefix_Constant_102
MEAN,652,3136.0,0.0026102106,-2.9828441e-05,0.004526268,6.8317663e-06,0.009082489,-128,onnx_tf_prefix_ReduceMean_5
ADD,656,3136.0,8.5448e-08,-4.7848204e-07,6.448139e-07,2.3875688e-13,0.009082492,-128,onnx_tf_prefix_Add_8
RSQRT,660,3136.0,0.0010860461,-0.00025800403,0.0031272823,1.2804096e-06,0.0039724135,-128,onnx_tf_prefix_Div_10;onnx_tf_prefix_Sqrt_9
MUL,664,602112.0,0.009654834,1.1899177e-05,0.02791422,9.3682014e-05,0.03907323,2,onnx_tf_prefix_Div_10;onnx_tf_prefix_Sqrt_91
MUL,668,602112.0,0.010231053,6.709059e-05,0.034602102,0.00010473874,0.04113921,-19,onnx_tf_prefix_Mul_11
ADD,672,602112.0,0.011928395,-0.00021115436,0.027961731,0.00014233124,0.04113921,-6,onnx_tf_prefix_Add_12
PAD,676,738048.0,1.4719137e-08,-5.4113993e-09,2.817674e-07,2.475248e-16,0.04113921,-6,Pad
TRANSPOSE,680,738048.0,1.471914e-08,-5.4113993e-09,2.817674e-07,2.475248e-16,0.04113921,-6,transpose_4
DEPTHWISE_CONV_2D,684,602112.0,0.008251257,-0.0015596475,0.048524022,7.058679e-05,0.029179227,-5,Add_1;depthwise_2;depthwise;Const_338
MEAN,688,3136.0,0.00024564218,-2.3894986e-06,0.00056911627,6.036432e-08,0.0008569176,5,onnx_tf_prefix_ReduceMean_15
SUB,692,602112.0,0.0060882373,0.0010151875,0.014707812,3.952259e-05,0.029418157,-6,onnx_tf_prefix_Sub_16
MUL,696,602112.0,0.007813358,-0.0015810601,0.03587707,6.58866e-05,0.0596201,-128,onnx_tf_prefix_Pow_18;onnx_tf_prefix_Constant_102
MEAN,700,3136.0,0.0004338236,-9.4886476e-05,0.00074285135,1.9953767e-07,0.001493419,-128,onnx_tf_prefix_ReduceMean_19
ADD,704,3136.0,9.51129e-08,-9.325658e-07,1.0000001e-06,8.8162566e-13,0.001493423,-128,onnx_tf_prefix_Add_21
RSQRT,708,3136.0,nan,-inf,inf,inf,0.20851786,-128,onnx_tf_prefix_Div_23;onnx_tf_prefix_Sqrt_22
MUL,712,602112.0,0.03654827,-0.00048209625,5.439216,0.0014600359,0.08078031,6,onnx_tf_prefix_Div_23;onnx_tf_prefix_Sqrt_221
FULLY_CONNECTED,716,2408448.0,0.086536,0.001581615,7.514232,0.0076381606,0.1316833,8,onnx_tf_prefix_Mul_24;onnx_tf_prefix_Add_25;onnx_tf_prefix_MatMul_26;onnx_tf_prefix_Add_271
FULLY_CONNECTED,720,2408448.0,0.14728425,0.0026911986,12.789214,0.022126248,0.22412507,8,onnx_tf_prefix_Mul_24;onnx_tf_prefix_Add_25;onnx_tf_prefix_MatMul_26;onnx_tf_prefix_Add_27;onnx_tf_prefix_Mul_291
LOGISTIC,724,2408448.0,0.0011383842,7.9454185e-05,0.00390625,1.3030271e-06,0.00390625,-128,onnx_tf_prefix_Sigmoid_30
MUL,728,2408448.0,0.01810786,-0.00068864186,0.031049728,0.00032844173,0.062189322,-125,onnx_tf_prefix_Mul_31
