,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
602,RSQRT,3036,196.0,8.1330196e-05,-inf,inf,inf,0.00027507244,-128,onnx_tf_prefix_Div_840;onnx_tf_prefix_Sqrt_839,0.0701434722,inf
20,RSQRT,708,3136.0,,-inf,inf,inf,0.20851786,-128,onnx_tf_prefix_Div_23;onnx_tf_prefix_Sqrt_22,53.1720543,inf
518,MEAN,2700,196.0,217.34932,-302.14728,835.55176,158760.06,1.7946018,-128,onnx_tf_prefix_ReduceMean_717,457.62345899999997,222.02533201155484
501,MEAN,2632,196.0,156.83797,-233.55324,596.2546,87672.76,1.4912843,-128,onnx_tf_prefix_ReduceMean_693,380.2774965,198.55091537895117
484,MEAN,2564,196.0,108.2523,-123.73813,391.19153,31483.123,1.4236532,-128,onnx_tf_prefix_ReduceMean_669,363.031566,124.63347222598026
661,MEAN,3272,1.0,0.0,0.033261213,0.033323053,0.0022982783,0.0004931012,-128,onnx_tf_prefix_ReduceMean_917,0.12574080599999998,97.22215624167143
664,MEAN,3284,1.0,0.0,-2.3149178,2.316406,12.024924,0.04114869,-128,onnx_tf_prefix_ReduceMean_921,10.49291595,84.27236003421766
535,MEAN,2768,196.0,343.27478,-234.01869,1492.3329,260961.0,6.084798,-128,onnx_tf_prefix_ReduceMean_741,1551.62349,83.95404748646575
467,MEAN,2496,196.0,46.886204,-56.83662,172.25868,5917.7314,0.99893016,-128,onnx_tf_prefix_ReduceMean_645,254.72719080000002,77.00917997290621
552,MEAN,2836,196.0,394.2007,-238.08472,1752.3406,376480.88,11.260219,-128,onnx_tf_prefix_ReduceMean_765,2871.355845,54.490980839958084
569,MEAN,2904,196.0,576.7731,-362.32736,2678.638,803853.75,18.004023,-128,onnx_tf_prefix_ReduceMean_789,4591.025865,49.79880966277753
629,MEAN,3144,49.0,0.044572294,0.027858008,0.20147747,0.0056017544,0.0020806817,5,onnx_tf_prefix_ReduceMean_870,0.5305738335,35.97132079145167
615,MEAN,3088,49.0,12.645315,-4.4376593,71.314644,789.72736,0.7827945,-128,onnx_tf_prefix_ReduceMean_850,199.6125975,35.8997005965665
632,MEAN,3156,49.0,12.389224,-3.7467835,74.0711,908.72327,0.84452343,-128,onnx_tf_prefix_ReduceMean_874,215.35347464999998,35.69473168632673
586,MEAN,2972,196.0,592.14777,-321.32938,3024.199,817711.44,26.490864,-128,onnx_tf_prefix_ReduceMean_813,6755.170319999999,34.13531491569599
649,MEAN,3224,49.0,13.161301,-3.3728793,78.85475,1100.3138,0.98355514,-128,onnx_tf_prefix_ReduceMean_898,250.8065607,33.72559089998014
532,MEAN,2756,196.0,0.29840362,-0.1655058,1.5216701,0.19655095,0.013340111,-60,onnx_tf_prefix_ReduceMean_737,3.401728305,33.23365677881933
566,MEAN,2892,196.0,0.46303597,0.14428076,2.0372992,0.71329015,0.026181625,25,onnx_tf_prefix_ReduceMean_785,6.676314375,32.25793149130718
549,MEAN,2824,196.0,0.35883105,-0.11038849,1.8403858,0.27851543,0.016402192,-65,onnx_tf_prefix_ReduceMean_761,4.18255896,32.17530992604794
612,MEAN,3076,49.0,0.032484267,-0.0040368033,0.13224165,0.0028932123,0.0020275624,-25,onnx_tf_prefix_ReduceMean_846,0.5170284119999999,26.528697187591952
515,MEAN,2688,196.0,0.1873057,0.048440542,1.0991696,0.055513825,0.009369828,3,onnx_tf_prefix_ReduceMean_713,2.38930614,25.146002668260717
450,MEAN,2428,196.0,23.050703,-12.405063,117.55905,935.58453,1.3215022,-128,onnx_tf_prefix_ReduceMean_621,336.983061,23.14587618319056
583,MEAN,2960,196.0,0.22628246,-0.0019557795,1.3779807,0.119938664,0.023862071,4,onnx_tf_prefix_ReduceMean_809,6.084828105,14.513477028369984
433,MEAN,2360,196.0,6.4808254,-2.8865728,36.532536,65.3395,0.5798815,-128,onnx_tf_prefix_ReduceMean_597,147.8697825,13.939546654315626
481,MEAN,2552,196.0,0.07309092,-0.012667615,0.5442825,0.008674038,0.0076477313,-8,onnx_tf_prefix_ReduceMean_665,1.9501714815,12.178058036796338
35,MEAN,768,3136.0,0.038172767,-0.005443217,0.7147369,0.0021346456,0.003923511,-128,onnx_tf_prefix_ReduceMean_43,1.000495305,11.775734808604915
464,MEAN,2484,196.0,0.055100776,0.00046205884,0.416975,0.005578546,0.006988685,5,onnx_tf_prefix_ReduceMean_641,1.7821146749999999,10.687227227008197
646,MEAN,3212,49.0,0.016255599,-0.006652868,0.08142932,0.0006275985,0.0023901777,-38,onnx_tf_prefix_ReduceMean_894,0.6094953135,10.481193969127434
498,MEAN,2620,196.0,0.07560196,0.011619964,0.5589542,0.010129116,0.010344032,24,onnx_tf_prefix_ReduceMean_689,2.63772816,9.729620855558082
597,MEAN,3016,196.0,0.3831585,-0.09202449,2.9046257,0.17780745,0.05070908,-122,onnx_tf_prefix_ReduceMean_831,12.930815399999998,8.31551680319826
447,MEAN,2416,196.0,0.03465492,0.00828495,0.2593651,0.0029064147,0.00661667,84,onnx_tf_prefix_ReduceMean_617,1.6872508499999999,8.147780404100672
131,RSQRT,1152,784.0,0.005242713,-0.000283708,0.11632356,3.807258e-05,0.0010924834,-128,onnx_tf_prefix_Div_179;onnx_tf_prefix_Sqrt_178,0.27858326699999997,5.647956032991735
68,RSQRT,900,3136.0,0.011279527,-0.0006849033,0.3164153,0.00017000522,0.00232693,-128,onnx_tf_prefix_Div_94;onnx_tf_prefix_Sqrt_93,0.5933671500000001,5.60335076118781
416,MEAN,2292,196.0,2.3815355,-0.32958627,22.862242,12.547229,0.76869106,-128,onnx_tf_prefix_ReduceMean_573,196.0162203,4.608101983166809
144,MEAN,1204,196.0,0.031081833,-0.0042960155,0.2733799,0.0043489155,0.014566374,-128,onnx_tf_prefix_ReduceMean_189,3.71442537,4.52729743899115
246,MEAN,1612,196.0,0.13074678,-0.015664415,1.2791375,0.06364143,0.06413465,-128,onnx_tf_prefix_ReduceMean_333,16.35433575,3.933482621388828
430,MEAN,2348,196.0,0.012993573,-0.00019347822,0.14051336,0.00038593195,0.0056179143,18,onnx_tf_prefix_ReduceMean_593,1.4325681465000002,3.496876198547906
81,MEAN,952,784.0,0.063946,-0.008870439,0.8279974,0.010417891,0.031698562,-128,onnx_tf_prefix_ReduceMean_104,8.08313331,3.2199590133967226
229,MEAN,1544,196.0,0.12343877,-0.01632343,1.2575125,0.039368827,0.063247986,-128,onnx_tf_prefix_ReduceMean_309,16.12823643,3.1371084799793154
146,RSQRT,1212,196.0,0.009387487,-0.001026946,0.072220385,0.00039655625,0.006949438,-128,onnx_tf_prefix_Div_193;onnx_tf_prefix_Sqrt_192,1.77210669,2.8655151890935757
591,FULLY_CONNECTED,2992,602112.0,0.5508461,0.026491635,14.424067,0.30618492,0.20235343,17,onnx_tf_prefix_Mul_818;onnx_tf_prefix_Add_819;onnx_tf_prefix_MatMul_820;onnx_tf_prefix_Add_821;onnx_tf_prefix_Mul_8231,51.60012465,2.734521411922485
590,FULLY_CONNECTED,2988,602112.0,0.32364643,0.015564088,8.474776,0.10569748,0.118891574,17,onnx_tf_prefix_Mul_818;onnx_tf_prefix_Add_819;onnx_tf_prefix_MatMul_820;onnx_tf_prefix_Add_8211,30.31735137,2.7345208548562954
573,FULLY_CONNECTED,2920,602112.0,0.27653506,-0.00522439,5.476742,0.07660877,0.10361292,22,onnx_tf_prefix_Mul_794;onnx_tf_prefix_Add_795;onnx_tf_prefix_MatMul_796;onnx_tf_prefix_Add_7971,26.4212946,2.6713164078139418
574,FULLY_CONNECTED,2924,602112.0,0.47066277,-0.008892694,9.321429,0.22192062,0.17634921,22,onnx_tf_prefix_Mul_794;onnx_tf_prefix_Add_795;onnx_tf_prefix_MatMul_796;onnx_tf_prefix_Add_797;onnx_tf_prefix_Mul_7991,44.969048550000004,2.6713162747395978
100,RSQRT,1028,784.0,0.008560716,-0.0007052678,0.15173148,0.00017027365,0.005007138,-128,onnx_tf_prefix_Div_132;onnx_tf_prefix_Sqrt_131,1.27682019,2.6060585087125556
161,MEAN,1272,196.0,0.044890735,-0.006203688,0.3777764,0.0058132713,0.029806504,-128,onnx_tf_prefix_ReduceMean_213,7.6006585200000005,2.5579924310063076
396,MEAN,2212,196.0,0.0055405535,0.00064744306,0.054805156,6.587859e-05,0.003784616,53,onnx_tf_prefix_ReduceMean_545,0.96507708,2.1446198758651125
556,FULLY_CONNECTED,2852,602112.0,0.25930032,0.00053980004,5.162948,0.067323945,0.12161249,4,onnx_tf_prefix_Mul_770;onnx_tf_prefix_Add_771;onnx_tf_prefix_MatMul_772;onnx_tf_prefix_Add_7731,31.01118495,2.1335685332411947
