op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
PAD,231,158700.0,0.0052341907,0.00014504776,0.0093261,2.7456828e-05,0.018658448,-14,Pad
TRANSPOSE,235,158700.0,0.0,0.0,0.0,0.0,0.018658448,-14,transpose_1
CONV_2D,239,802816.0,0.0064707533,0.0002040296,0.050561752,4.2333486e-05,0.01873804,-128,onnx_tf_prefix_Relu_1;Add;convolution_9;convolution;Const_106
TRANSPOSE,243,802816.0,0.0,0.0,0.0,0.0,0.01873804,-128,transpose_2
PADV2,247,802816.0,0.0,0.0,0.0,0.0,0.01873804,-128,PadV2
TRANSPOSE,251,802816.0,0.0,0.0,0.0,0.0,0.01873804,-128,transpose_3
MAX_POOL_2D,255,193600.0,0.0,0.0,0.0,0.0,0.01873804,-128,MaxPool2d
CONV_2D,259,774400.0,0.007394061,0.00051295484,0.06347787,5.4949734e-05,0.023714297,15,Add_5;convolution_41;convolution_4;Const_98
CONV_2D,263,193600.0,0.0023707743,0.00012556594,0.020122027,5.659323e-06,0.006416375,-128,onnx_tf_prefix_Relu_4;Add_2;convolution_9;convolution_1;Const_104
TRANSPOSE,267,193600.0,0.0,0.0,0.0,0.0,0.006416375,-128,transpose_7
PAD,271,207936.0,0.0,0.0,0.0,0.0,0.006416375,-128,Pad_1
TRANSPOSE,275,207936.0,0.0,0.0,0.0,0.0,0.006416375,-128,transpose_9
CONV_2D,279,193600.0,0.0021212487,0.00012788875,0.0124220215,4.524392e-06,0.0072808755,-128,onnx_tf_prefix_Relu_6;Add_3;convolution_9;convolution_2;Const_102
CONV_2D,283,774400.0,0.004140279,-2.2083435e-05,0.016996019,1.7145036e-05,0.01430906,-13,Add_4;convolution_41;convolution_3;Const_100
ADD,287,774400.0,0.0021977066,-3.944397e-05,0.004935958,4.834988e-06,0.009872619,-128,onnx_tf_prefix_Relu_10;onnx_tf_prefix_Add_9
CONV_2D,291,193600.0,0.0015939318,0.0001084113,0.01135917,2.5623106e-06,0.0071704993,-128,onnx_tf_prefix_Relu_12;Add_6;convolution_9;convolution_5;Const_96
TRANSPOSE,295,193600.0,0.0,0.0,0.0,0.0,0.0071704993,-128,transpose_19
PAD,299,207936.0,0.0,0.0,0.0,0.0,0.0071704993,-128,Pad_2
TRANSPOSE,303,207936.0,0.0,0.0,0.0,0.0,0.0071704993,-128,transpose_21
CONV_2D,307,193600.0,0.0023395119,0.00010836031,0.018022807,5.5025203e-06,0.008680427,-128,onnx_tf_prefix_Relu_14;Add_7;convolution_9;convolution_6;Const_94
CONV_2D,311,774400.0,0.0033182853,-0.00022156634,0.016197992,1.1061369e-05,0.010882774,1,Add_8;convolution_41;convolution_7;Const_92
ADD,315,774400.0,0.00274429,0.000120437944,0.006247309,7.5489716e-06,0.011561171,-128,onnx_tf_prefix_Relu_17;onnx_tf_prefix_Add_16
CONV_2D,319,193600.0,0.0017785006,4.47656e-06,0.011987445,3.1645586e-06,0.0077730874,-128,onnx_tf_prefix_Relu_19;Add_9;convolution_9;convolution_8;Const_90
