op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
TRANSPOSE,340,150528.0,0.005365273,3.399253e-05,0.00932092,2.8881863e-05,0.018658448,-14,transpose_1
CONV_2D,344,301056.0,0.012271296,9.039266e-06,0.04234022,0.00015067507,0.040580157,-9,Add;depthwise_2;convolution;Const_180
TRANSPOSE,348,301056.0,4.585886e-08,2.6276747e-09,4.7683716e-07,2.1651234e-15,0.040580157,-9,transpose_2
MEAN,352,3136.0,0.0007949095,1.6130366e-06,0.0013852357,6.327696e-07,0.0027744682,14,onnx_tf_prefix_ReduceMean_1
SUB,356,301056.0,0.011363522,-0.00017779283,0.01995764,0.00012983265,0.039711267,-9,onnx_tf_prefix_Sub_2
MUL,360,301056.0,0.024021577,-0.00733425,0.056922257,0.0006347967,0.11477433,-128,onnx_tf_prefix_Pow_4;onnx_tf_prefix_Constant_102
MEAN,364,3136.0,0.0023261034,-3.9881666e-05,0.004064614,5.418301e-06,0.0081415735,-128,onnx_tf_prefix_ReduceMean_5
ADD,368,3136.0,9.231733e-08,-5.629923e-07,7.1525574e-07,3.3524556e-13,0.008141577,-128,onnx_tf_prefix_Add_8
RSQRT,372,3136.0,0.0014050154,-0.00010356123,0.004696185,2.0184334e-06,0.0047559254,-128,onnx_tf_prefix_Div_10;onnx_tf_prefix_Sqrt_9
MUL,376,301056.0,0.009363255,6.0565337e-05,0.02379942,8.8251494e-05,0.034246396,11,onnx_tf_prefix_Div_10;onnx_tf_prefix_Sqrt_91
MUL,380,301056.0,0.013132286,0.0004498561,0.051730264,0.00017282426,0.051497635,9,onnx_tf_prefix_Mul_11
ADD,384,301056.0,0.013639268,-0.0005784264,0.03147799,0.00018647051,0.050567515,10,onnx_tf_prefix_Add_12
PAD,388,369024.0,2.1975518e-08,6.535068e-09,4.3348834e-07,5.398391e-16,0.050567515,10,Pad
TRANSPOSE,392,369024.0,2.1975518e-08,6.535068e-09,4.3348834e-07,5.398391e-16,0.050567515,10,transpose_4
DEPTHWISE_CONV_2D,396,301056.0,0.0049847593,-0.00013452802,0.030986,2.491357e-05,0.016633349,-6,Add_1;depthwise_2;depthwise;Const_176
MEAN,400,3136.0,0.00021138243,1.8258025e-07,0.00036374005,4.4703484e-08,0.00073034357,-19,onnx_tf_prefix_ReduceMean_15
SUB,404,301056.0,0.0044636177,0.00057416834,0.008298676,2.1343802e-05,0.016599378,-6,onnx_tf_prefix_Sub_16
MUL,408,301056.0,0.003296619,-0.00086767727,0.01079518,1.1844382e-05,0.019016381,-128,onnx_tf_prefix_Pow_18;onnx_tf_prefix_Constant_102
MEAN,412,3136.0,0.000162982,-4.5104343e-06,0.0002851381,2.6702416e-08,0.00057181646,-128,onnx_tf_prefix_ReduceMean_19
ADD,416,3136.0,9.676069e-08,-9.155932e-07,9.970867e-07,8.5052327e-13,0.00057182036,-128,onnx_tf_prefix_Add_21
RSQRT,420,3136.0,0.9119284,-0.16841924,7.5730686,1.834744,0.123249635,-128,onnx_tf_prefix_Div_23;onnx_tf_prefix_Sqrt_22
MUL,424,301056.0,0.016123049,-7.7077886e-05,0.18580467,0.0002607696,0.06210633,-3,onnx_tf_prefix_Div_23;onnx_tf_prefix_Sqrt_221
FULLY_CONNECTED,428,1204224.0,0.07460144,-9.865893e-05,2.969063,0.0055768713,0.13971013,0,onnx_tf_prefix_Mul_24;onnx_tf_prefix_Add_25;onnx_tf_prefix_MatMul_26;onnx_tf_prefix_Add_271
FULLY_CONNECTED,432,1204224.0,0.12697172,-0.00016829165,5.0533376,0.016155116,0.23778671,0,onnx_tf_prefix_Mul_24;onnx_tf_prefix_Add_25;onnx_tf_prefix_MatMul_26;onnx_tf_prefix_Add_27;onnx_tf_prefix_Mul_291
LOGISTIC,436,1204224.0,0.0010523343,-5.0535324e-05,0.00390625,1.111067e-06,0.00390625,-128,onnx_tf_prefix_Sigmoid_30
MUL,440,1204224.0,0.018799942,0.0030242412,0.035183907,0.00036267666,0.07038215,-126,onnx_tf_prefix_Mul_31
FULLY_CONNECTED,444,301056.0,0.019579204,-8.198525e-05,0.0992459,0.00038611703,0.03519361,-9,onnx_tf_prefix_MatMul_32;onnx_tf_prefix_Add_33;onnx_tf_prefix_Mul_34
TRANSPOSE,448,301056.0,2.7252945e-08,1.2406992e-08,4.1181391e-07,9.073666e-16,0.03519361,-9,onnx_tf_prefix_Transpose_35
ADD,452,301056.0,0.014417651,0.00010433883,0.025313891,0.0002078839,0.050661895,10,onnx_tf_prefix_Add_36
PAD,456,369024.0,2.915025e-08,-1.7796204e-08,4.3348834e-07,1.1737051e-15,0.050661895,10,Pad_1
TRANSPOSE,460,369024.0,2.915025e-08,-1.7796204e-08,4.3348834e-07,1.1737052e-15,0.050661895,10,transpose_7
