,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
127,FULLY_CONNECTED,745,1000.0,0.061201397,0.0016540218,0.19893265,0.0037718161,0.11801155,-64,PartitionedCall:0,30.092945250000003,0.5204161199552003
8,CONV_2D,263,193600.0,0.0023707743,0.00012556594,0.020122027,5.659323e-06,0.006416375,-128,onnx_tf_prefix_Relu_4;Add_2;convolution_9;convolution_1;Const_104,1.6361756250000001,0.3707596835061256
2,CONV_2D,239,802816.0,0.0064707533,0.0002040296,0.050561752,4.2333486e-05,0.01873804,-128,onnx_tf_prefix_Relu_1;Add;convolution_9;convolution;Const_106,4.778200200000001,0.3472304910578978
121,CONV_2D,715,100352.0,0.020734433,0.0002018548,0.14351411,0.0004304929,0.06375281,-44,Add_53;convolution_52;Const_2,16.256966549999998,0.3254495421266147
48,CONV_2D,423,100352.0,0.0015522797,7.2812995e-06,0.015937323,2.4111932e-06,0.004934442,-128,onnx_tf_prefix_Relu_43;Add_20;convolution_22;convolution_19;Const_68,1.25828271,0.31468638721734254
7,CONV_2D,259,774400.0,0.007394061,0.00051295484,0.06347787,5.4949734e-05,0.023714297,15,Add_5;convolution_41;convolution_4;Const_98,6.047145735,0.3125881732611931
64,CONV_2D,487,200704.0,0.003140764,4.9473518e-05,0.02116567,9.86812e-06,0.010073819,0,Add_28;convolution_42;convolution_27;Const_52,2.568823845,0.3118337141986724
114,CONV_2D,687,100352.0,0.010936753,2.0486752e-05,0.04899237,0.000119636876,0.035425484,-28,Add_50;convolution_52;convolution_49;Const_8,9.03349842,0.30875694811567794
41,CONV_2D,395,100352.0,0.0019416921,3.7888174e-05,0.015634807,3.7766515e-06,0.0063148965,-128,onnx_tf_prefix_Relu_36;Add_17;convolution_22;convolution_16;Const_74,1.6102986075,0.3077423165128942
106,CONV_2D,655,100352.0,0.011402452,5.0437343e-06,0.078571096,0.00013003331,0.037069235,-38,Add_46;convolution_52;convolution_45;Const_16,9.452654925,0.3076193748687525
20,CONV_2D,311,774400.0,0.0033182853,-0.00022156634,0.016197992,1.1061369e-05,0.010882774,1,Add_8;convolution_41;convolution_7;Const_92,2.7751073699999997,0.30560807816418
35,CONV_2D,371,401408.0,0.004202061,0.00011565429,0.032396827,1.767256e-05,0.013773113,-21,Add_15;convolution_51;convolution_14;Const_78,3.512143815,0.30522325660525185
63,CONV_2D,483,200704.0,0.0043892357,2.4298457e-05,0.030345066,1.926764e-05,0.014418654,-14,Add_27;convolution_42;convolution_26;Const_54,3.67675677,0.30443146759346323
107,CONV_2D,659,100352.0,0.01262967,2.0458456e-05,0.11957951,0.0001595223,0.041594755,-3,Add_47;convolution_52;convolution_46;Const_14,10.606662524999999,0.3036491926665494
78,CONV_2D,543,200704.0,0.0031123115,1.4112156e-05,0.014313703,9.686927e-06,0.010294554,5,Add_34;convolution_42;convolution_33;Const_40,2.6251112699999997,0.30233294703208263
49,CONV_2D,427,401408.0,0.0038492507,1.101004e-05,0.01944953,1.481722e-05,0.012766724,8,Add_21;convolution_51;convolution_20;Const_66,3.25551462,0.3015115095021982
