,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
1314,FULLY_CONNECTED,7610,49152.0,0.20357649,-0.021754272,1.1987252,0.042097617,0.23380697,-1,onnx_tf_prefix_Mul_1786;onnx_tf_prefix_Add_1787;onnx_tf_prefix_MatMul_1800;onnx_tf_prefix_Add_18011,59.62077735,0.8775488523245254
1946,FULLY_CONNECTED,10380,196608.0,0.06829788,0.002354259,0.85136557,0.004834644,0.09497851,-128,onnx_tf_prefix_Mul_2661;onnx_tf_prefix_Add_2662;onnx_tf_prefix_MatMul_2663;onnx_tf_prefix_Relu_2665;onnx_tf_prefix_Add_26641,24.21952005,0.732077228048112
2039,FULLY_CONNECTED,10790,196608.0,0.018593391,0.00050701003,0.36116585,0.00035025584,0.02704342,-128,onnx_tf_prefix_Mul_2790;onnx_tf_prefix_Add_2791;onnx_tf_prefix_MatMul_2792;onnx_tf_prefix_Relu_2794;onnx_tf_prefix_Add_27931,6.8960721,0.6920398121396846
1569,FULLY_CONNECTED,8732,49152.0,0.2031724,-0.011387512,2.5726593,0.04172979,0.30522346,-5,onnx_tf_prefix_Mul_2125;onnx_tf_prefix_Add_2126;onnx_tf_prefix_MatMul_2139;onnx_tf_prefix_Add_21401,77.8319823,0.6692759025568209
502,FULLY_CONNECTED,4026,49152.0,0.031058608,0.0010556935,0.13412245,0.0009668158,0.04830857,-7,onnx_tf_prefix_MatMul_745;onnx_tf_prefix_Add_746,12.31868535,0.643646908479035
1016,FULLY_CONNECTED,6288,49152.0,0.029503578,-0.001396446,0.18284883,0.0008770281,0.04695331,1,onnx_tf_prefix_MatMul_1431;onnx_tf_prefix_Add_1432,11.97309405,0.6307257192498433
1687,FULLY_CONNECTED,9240,196608.0,0.06482158,-3.2376174e-05,0.8267167,0.0042572,0.104272425,-128,onnx_tf_prefix_Mul_2314;onnx_tf_prefix_Add_2315;onnx_tf_prefix_MatMul_2316;onnx_tf_prefix_Relu_2318;onnx_tf_prefix_Add_23171,26.589468375,0.6257380334550855
1947,FULLY_CONNECTED,10384,49152.0,0.05396181,-0.004338897,0.39810166,0.003033112,0.089397535,0,onnx_tf_prefix_MatMul_2666;onnx_tf_prefix_Add_2667,22.796371425,0.6160538551851239
2032,FULLY_CONNECTED,10758,49152.0,0.07903916,-0.004573645,0.51728433,0.0063584545,0.12988676,-12,onnx_tf_prefix_MatMul_2779;onnx_tf_prefix_Add_2780,33.1211238,0.6139187539822868
1954,FULLY_CONNECTED,10416,196608.0,0.01682852,0.00050344947,0.21913703,0.00029517236,0.028420037,-128,onnx_tf_prefix_Mul_2677;onnx_tf_prefix_Add_2678;onnx_tf_prefix_MatMul_2679;onnx_tf_prefix_Relu_2681;onnx_tf_prefix_Add_26801,7.247109435,0.6045235232526894
1182,FULLY_CONNECTED,7018,49152.0,0.056718376,0.0039369613,0.2707327,0.00325057,0.095424086,-14,onnx_tf_prefix_MatMul_1649;onnx_tf_prefix_Add_1650,24.33314193,0.597477771665417
1360,FULLY_CONNECTED,7802,49152.0,0.046545982,-0.00051791617,0.350708,0.0022366582,0.07943253,-22,onnx_tf_prefix_MatMul_1891;onnx_tf_prefix_Add_1892,20.255295150000002,0.5953898343851626
1880,FULLY_CONNECTED,10088,49152.0,0.032458033,0.00034417488,0.16923736,0.0010571309,0.0566014,2,onnx_tf_prefix_Add_2584;onnx_tf_prefix_Mul_2585;onnx_tf_prefix_Add_2586;onnx_tf_prefix_MatMul_2589;onnx_tf_prefix_Add_2590,14.433357,0.5744301286408798
1607,FULLY_CONNECTED,8888,49152.0,0.074110344,-0.0026757808,0.3137834,0.0055683777,0.13359004,3,onnx_tf_prefix_MatMul_2214;onnx_tf_prefix_Add_2215,34.0654602,0.5585862781195737
685,FULLY_CONNECTED,4832,49152.0,0.19237001,0.008602556,1.0183979,0.037117384,0.3461071,-4,onnx_tf_prefix_MatMul_10011,88.2573105,0.556644819401517
2040,FULLY_CONNECTED,10794,49152.0,0.02462325,-0.0015350004,0.101461224,0.0006202459,0.046243075,-20,onnx_tf_prefix_MatMul_2795;onnx_tf_prefix_Add_2796,11.791984125,0.5385614277878595
591,FULLY_CONNECTED,4418,49152.0,0.022178546,-0.000728046,0.3422664,0.0004925852,0.042331547,6,onnx_tf_prefix_MatMul_866;onnx_tf_prefix_Add_867,10.794544485,0.5242959941750409
2036,FULLY_CONNECTED,10776,49152.0,0.027523426,0.00095138414,0.11378784,0.00077832636,0.053317554,-7,onnx_tf_prefix_MatMul_2787;onnx_tf_prefix_Add_2788,13.595976270000001,0.5232517049638448
1399,FULLY_CONNECTED,7984,49152.0,0.21006066,-0.0045844517,1.068937,0.044417884,0.40319777,-7,onnx_tf_prefix_Mul_1899;onnx_tf_prefix_Add_1900;onnx_tf_prefix_MatMul_1913;onnx_tf_prefix_Add_19141,102.81543135,0.5227100031793096
1196,FULLY_CONNECTED,7080,49152.0,0.16304058,-0.00087066414,0.75880766,0.026665324,0.3172501,9,onnx_tf_prefix_MatMul_16791,80.8987755,0.5147207363323478
856,FULLY_CONNECTED,5584,49152.0,0.1493395,0.0053174407,0.7190125,0.022344224,0.2944862,5,onnx_tf_prefix_MatMul_12271,75.093981,0.5075954146415342
1795,FULLY_CONNECTED,9714,49152.0,0.034453947,0.0031594879,0.1983176,0.0012005587,0.06884269,-3,onnx_tf_prefix_Add_2471;onnx_tf_prefix_Mul_2472;onnx_tf_prefix_Add_2473;onnx_tf_prefix_MatMul_2476;onnx_tf_prefix_Add_2477,17.55488595,0.5033080397185034
1451,FULLY_CONNECTED,8202,49152.0,0.21589504,-0.006616277,1.3808613,0.046885427,0.43086842,-11,onnx_tf_prefix_MatMul_20181,109.8714471,0.5025442099752266
2035,FULLY_CONNECTED,10772,196608.0,0.03139987,0.00040343846,0.61020654,0.0009983153,0.06307287,-128,onnx_tf_prefix_Mul_2782;onnx_tf_prefix_Add_2783;onnx_tf_prefix_MatMul_2784;onnx_tf_prefix_Relu_2786;onnx_tf_prefix_Add_27851,16.08358185,0.5009464120996364
1093,FULLY_CONNECTED,6626,49152.0,0.08789346,-0.00025184618,0.4369414,0.0077534434,0.18071459,15,onnx_tf_prefix_MatMul_1528;onnx_tf_prefix_Add_1529,46.08222045,0.48725251975623496
