op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONCATENATION,1814,147456.0,0.00047314144,6.040947e-08,0.0021717846,2.247345e-07,0.004344727,17,onnx_tf_prefix_Concat_84
FULLY_CONNECTED,1818,196608.0,0.0034860699,9.884655e-06,0.037451804,1.2216103e-05,0.019847287,15,onnx_tf_prefix_MatMul_852
ADD,1822,196608.0,0.011438534,-4.9635088e-05,0.027489608,0.00013084266,0.034462046,-46,onnx_tf_prefix_Add_89;Const_1062;onnx_tf_prefix_Add_86;onnx_tf_prefix_Gather_871
ADD,1826,196608.0,0.010545336,0.00018027094,0.02164615,0.00011123675,0.0347576,-46,onnx_tf_prefix_Add_90
ADD,1832,196608.0,0.022977931,-0.00078424666,0.059024423,0.0005286014,0.05801687,-33,onnx_tf_prefix_Add_92
FULLY_CONNECTED,1836,49152.0,0.049178842,0.0005496664,0.28185955,0.00241932,0.10949046,1,onnx_tf_prefix_Mul_91;onnx_tf_prefix_Add_92;onnx_tf_prefix_MatMul_105;onnx_tf_prefix_Add_1061
RESHAPE,1840,49152.0,8.114612e-08,1.6909528e-09,9.536743e-07,6.5888575e-15,0.10949046,1,onnx_tf_prefix_Reshape_1431
TRANSPOSE,1844,49152.0,8.114612e-08,1.6909528e-09,9.536743e-07,6.5888575e-15,0.10949046,1,onnx_tf_prefix_Transpose_144
FULLY_CONNECTED,1848,49152.0,0.084588975,-0.0053092283,0.5345318,0.007187471,0.17567907,-9,onnx_tf_prefix_Mul_91;onnx_tf_prefix_Add_92;onnx_tf_prefix_MatMul_93;onnx_tf_prefix_Add_94;onnx_tf_prefix_Mul_95;onnx_tf_prefix_Add_96
FULLY_CONNECTED,1852,49152.0,0.04055255,-0.0010267887,0.26822892,0.0016466995,0.091293305,-3,onnx_tf_prefix_MatMul_972
FULLY_CONNECTED,1856,49152.0,0.021852298,-0.0005047844,0.10228186,0.00047781097,0.04718138,-1,onnx_tf_prefix_Add_98;onnx_tf_prefix_Mul_99;onnx_tf_prefix_Add_100;onnx_tf_prefix_MatMul_101;onnx_tf_prefix_Add_102
RESHAPE,1860,49152.0,3.9490242e-08,-4.494192e-09,4.7683716e-07,1.579752e-15,0.04718138,-1,onnx_tf_prefix_Reshape_118
TRANSPOSE,1864,49152.0,3.9490235e-08,-4.494192e-09,4.7683716e-07,1.579752e-15,0.04718138,-1,onnx_tf_prefix_Transpose_119
FULLY_CONNECTED,1868,49152.0,0.041837603,-0.0012703533,0.19562109,0.0017520521,0.11287858,-21,onnx_tf_prefix_Add_98;onnx_tf_prefix_Mul_99;onnx_tf_prefix_Add_100;onnx_tf_prefix_MatMul_103;onnx_tf_prefix_Add_104
RESHAPE,1872,49152.0,1.662835e-07,-1.2984958e-08,9.536743e-07,2.7819029e-14,0.11287858,-21,onnx_tf_prefix_Reshape_131
TRANSPOSE,1876,49152.0,1.662835e-07,-1.2984958e-08,9.536743e-07,2.7819029e-14,0.11287858,-21,onnx_tf_prefix_Transpose_145
RESHAPE,1880,49152.0,3.9490235e-08,-4.494192e-09,4.7683716e-07,1.579752e-15,0.04718138,-1,onnx_tf_prefix_MatMul_1465
SPLIT,1890,12288.0,3.0126476e-08,-4.3464756e-09,4.7683716e-07,9.265374e-16,0.04718138,-1,onnx_tf_prefix_MatMul_1466;onnx_tf_prefix_MatMul_1467;onnx_tf_prefix_MatMul_1468;onnx_tf_prefix_MatMul_1469
SPLIT,1889,12288.0,5.1945552e-08,-4.4618798e-09,4.7683716e-07,2.7186302e-15,0.04718138,-1,onnx_tf_prefix_MatMul_1466;onnx_tf_prefix_MatMul_1467;onnx_tf_prefix_MatMul_1468;onnx_tf_prefix_MatMul_1469
SPLIT,1888,12288.0,4.8838952e-08,-4.873679e-09,4.7683716e-07,2.4094197e-15,0.04718138,-1,onnx_tf_prefix_MatMul_1466;onnx_tf_prefix_MatMul_1467;onnx_tf_prefix_MatMul_1468;onnx_tf_prefix_MatMul_1469
SPLIT,1887,12288.0,1.5681936e-08,-4.294735e-09,2.3841858e-07,2.644211e-16,0.04718138,-1,onnx_tf_prefix_MatMul_1466;onnx_tf_prefix_MatMul_1467;onnx_tf_prefix_MatMul_1468;onnx_tf_prefix_MatMul_1469
RESHAPE,1900,49152.0,1.662835e-07,-1.2984958e-08,9.536743e-07,2.7819029e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14610
SPLIT,1910,12288.0,1.4708888e-07,-1.0016569e-09,9.536743e-07,2.1636652e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14611;onnx_tf_prefix_MatMul_14612;onnx_tf_prefix_MatMul_14613;onnx_tf_prefix_MatMul_14614
SPLIT,1909,12288.0,2.2239101e-07,-2.3530548e-08,9.536743e-07,5.0013013e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14611;onnx_tf_prefix_MatMul_14612;onnx_tf_prefix_MatMul_14613;onnx_tf_prefix_MatMul_14614
SPLIT,1908,12288.0,1.7570933e-07,-1.8861e-08,9.536743e-07,3.123076e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14611;onnx_tf_prefix_MatMul_14612;onnx_tf_prefix_MatMul_14613;onnx_tf_prefix_MatMul_14614
SPLIT,1907,12288.0,9.120913e-08,-8.546623e-09,9.536743e-07,8.395685e-15,0.11287858,-21,onnx_tf_prefix_MatMul_14611;onnx_tf_prefix_MatMul_14612;onnx_tf_prefix_MatMul_14613;onnx_tf_prefix_MatMul_14614
RESHAPE,1920,12288.0,9.120913e-08,-8.546623e-09,9.536743e-07,8.395685e-15,0.11287858,-21,onnx_tf_prefix_MatMul_14615
RESHAPE,1924,12288.0,1.7570933e-07,-1.8861e-08,9.536743e-07,3.123076e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14616
RESHAPE,1928,12288.0,2.2239101e-07,-2.3530548e-08,9.536743e-07,5.0013013e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14617
RESHAPE,1932,12288.0,1.4708888e-07,-1.0016569e-09,9.536743e-07,2.1636652e-14,0.11287858,-21,onnx_tf_prefix_MatMul_14618
TRANSPOSE,1936,12288.0,9.120914e-08,-8.546623e-09,9.536743e-07,8.395685e-15,0.11287858,-21,onnx_tf_prefix_MatMul_14619
FULLY_CONNECTED,1940,147456.0,0.27631924,0.0047121705,0.48258176,0.076375,0.9585223,-80,onnx_tf_prefix_MatMul_14620
