,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
1298,FULLY_CONNECTED,7206,49152.0,0.20480044,-0.02161198,1.5388054,0.042572778,0.23380697,-1,onnx_tf_prefix_Mul_1786;onnx_tf_prefix_Add_1787;onnx_tf_prefix_MatMul_1800;onnx_tf_prefix_Add_18011,59.62077735,0.8824874568821911
1923,FULLY_CONNECTED,9801,196608.0,0.067102686,0.0020733422,0.7380312,0.0046661245,0.09497851,-128,onnx_tf_prefix_Mul_2661;onnx_tf_prefix_Add_2662;onnx_tf_prefix_MatMul_2663;onnx_tf_prefix_Relu_2665;onnx_tf_prefix_Add_26641,24.21952005,0.719205183756436
2015,FULLY_CONNECTED,10186,196608.0,0.018692756,0.00058453594,0.34955478,0.00035346826,0.02704342,-128,onnx_tf_prefix_Mul_2790;onnx_tf_prefix_Add_2791;onnx_tf_prefix_MatMul_2792;onnx_tf_prefix_Relu_2794;onnx_tf_prefix_Add_27931,6.8960721,0.6952061381556567
1550,FULLY_CONNECTED,8253,49152.0,0.20369942,-0.012477081,2.7093985,0.04196556,0.30522346,-5,onnx_tf_prefix_Mul_2125;onnx_tf_prefix_Add_2126;onnx_tf_prefix_MatMul_2139;onnx_tf_prefix_Add_21401,77.8319823,0.6711639173827625
496,FULLY_CONNECTED,3872,49152.0,0.030836849,0.0010459269,0.13828851,0.0009530767,0.04830857,-7,onnx_tf_prefix_MatMul_745;onnx_tf_prefix_Add_746,12.31868535,0.6390572176784747
1004,FULLY_CONNECTED,5984,49152.0,0.029542133,-0.0014677377,0.21501744,0.0008790831,0.04695331,1,onnx_tf_prefix_MatMul_1431;onnx_tf_prefix_Add_1432,11.97309405,0.6314642263632315
1667,FULLY_CONNECTED,8736,196608.0,0.06526465,-9.3161856e-05,1.0763222,0.004313574,0.104272425,-128,onnx_tf_prefix_Mul_2314;onnx_tf_prefix_Add_2315;onnx_tf_prefix_MatMul_2316;onnx_tf_prefix_Relu_2318;onnx_tf_prefix_Add_23171,26.589468375,0.6298674311065787
2008,FULLY_CONNECTED,10154,49152.0,0.07909703,-0.0044002994,0.8846324,0.0063600317,0.12988676,-12,onnx_tf_prefix_MatMul_2779;onnx_tf_prefix_Add_2780,33.1211238,0.613994889828016
1168,FULLY_CONNECTED,6664,49152.0,0.057297077,0.0038915062,0.25250527,0.0033245003,0.095424086,-14,onnx_tf_prefix_MatMul_1649;onnx_tf_prefix_Add_1650,24.33314193,0.6042340281051156
1344,FULLY_CONNECTED,7398,49152.0,0.046992805,-0.0006366794,0.35032701,0.002293118,0.07943253,-22,onnx_tf_prefix_MatMul_1891;onnx_tf_prefix_Add_1892,20.255295150000002,0.6028576915631969
1924,FULLY_CONNECTED,9805,49152.0,0.052670132,-0.0043154676,0.31058815,0.0028913373,0.089397535,0,onnx_tf_prefix_MatMul_2666;onnx_tf_prefix_Add_2667,22.796371425,0.6014836624570251
1931,FULLY_CONNECTED,9837,196608.0,0.01640681,0.0004998234,0.21011318,0.0002834991,0.028420037,-128,onnx_tf_prefix_Mul_2677;onnx_tf_prefix_Add_2678;onnx_tf_prefix_MatMul_2679;onnx_tf_prefix_Relu_2681;onnx_tf_prefix_Add_26801,7.247109435,0.5924493171608937
1858,FULLY_CONNECTED,9534,49152.0,0.032487545,0.00046349494,0.17177488,0.0010584824,0.0566014,2,onnx_tf_prefix_Add_2584;onnx_tf_prefix_Mul_2585;onnx_tf_prefix_Add_2586;onnx_tf_prefix_MatMul_2589;onnx_tf_prefix_Add_2590,14.433357,0.5747972044432309
1588,FULLY_CONNECTED,8409,49152.0,0.07460866,-0.0028436587,0.31419453,0.0056661996,0.13359004,3,onnx_tf_prefix_MatMul_2214;onnx_tf_prefix_Add_2215,34.0654602,0.5634713703060168
677,FULLY_CONNECTED,4628,49152.0,0.19206162,0.009149525,0.958186,0.037010856,0.3461071,-4,onnx_tf_prefix_MatMul_10011,88.2573105,0.5558454518136773
2016,FULLY_CONNECTED,10190,49152.0,0.02471794,-0.0016014297,0.17691837,0.0006263377,0.046243075,-20,onnx_tf_prefix_MatMul_2795;onnx_tf_prefix_Add_2796,11.791984125,0.5411997299005121
1382,FULLY_CONNECTED,7555,49152.0,0.21083564,-0.0041215476,1.291169,0.044752285,0.40319777,-7,onnx_tf_prefix_Mul_1899;onnx_tf_prefix_Add_1900;onnx_tf_prefix_MatMul_1913;onnx_tf_prefix_Add_19141,102.81543135,0.5246739305228351
584,FULLY_CONNECTED,4239,49152.0,0.022158826,-0.0007239816,0.25546423,0.000491633,0.042331547,6,onnx_tf_prefix_MatMul_866;onnx_tf_prefix_Add_867,10.794544485,0.5237889995042915
2012,FULLY_CONNECTED,10172,49152.0,0.027338369,0.0010621435,0.12290311,0.0007698417,0.053317554,-7,onnx_tf_prefix_MatMul_2787;onnx_tf_prefix_Add_2788,13.595976270000001,0.5203918644955214
1182,FULLY_CONNECTED,6726,49152.0,0.16447015,-0.0020244066,0.7337651,0.027147966,0.3172501,9,onnx_tf_prefix_MatMul_16791,80.8987755,0.5193580656820419
2011,FULLY_CONNECTED,10168,196608.0,0.032044213,0.00019521,0.44902536,0.0010387448,0.06307287,-128,onnx_tf_prefix_Mul_2782;onnx_tf_prefix_Add_2783;onnx_tf_prefix_MatMul_2784;onnx_tf_prefix_Relu_2786;onnx_tf_prefix_Add_27851,16.08358185,0.5109893376945334
846,FULLY_CONNECTED,5330,49152.0,0.14950027,0.00540833,0.99527335,0.022398205,0.2944862,5,onnx_tf_prefix_MatMul_12271,75.093981,0.508208189982088
1434,FULLY_CONNECTED,7773,49152.0,0.21716572,-0.0071648764,0.97238797,0.04743324,0.43086842,-11,onnx_tf_prefix_MatMul_20181,109.8714471,0.5054715668889955
1774,FULLY_CONNECTED,9185,49152.0,0.034558076,0.0030706208,0.18512446,0.001207872,0.06884269,-3,onnx_tf_prefix_Add_2471;onnx_tf_prefix_Mul_2472;onnx_tf_prefix_Add_2473;onnx_tf_prefix_MatMul_2476;onnx_tf_prefix_Add_2477,17.55488595,0.5048386829756921
1080,FULLY_CONNECTED,6297,49152.0,0.08970293,-0.00036399314,0.7290149,0.008076952,0.18071459,15,onnx_tf_prefix_MatMul_1528;onnx_tf_prefix_Add_1529,46.08222045,0.4973138269593664
1915,FULLY_CONNECTED,9765,49152.0,0.2401715,0.005445801,0.8924888,0.05815507,0.49865645,3,onnx_tf_prefix_MatMul_2650;onnx_tf_prefix_Add_2651;onnx_tf_prefix_Slice_44;Const_1088,127.15739475,0.48360674616022653
1466,FULLY_CONNECTED,7904,49152.0,0.17946167,-0.004311251,0.84576005,0.032393027,0.37243932,4,onnx_tf_prefix_Mul_2012;onnx_tf_prefix_Add_2013;onnx_tf_prefix_MatMul_2026;onnx_tf_prefix_Add_20271,94.9720266,0.4832481960102643
748,FULLY_CONNECTED,4919,49152.0,0.037840974,6.9033515e-05,0.20234066,0.0014341498,0.078401975,-1,onnx_tf_prefix_MatMul_1084;onnx_tf_prefix_Add_1085,19.992503625,0.4830257186650097
8,FULLY_CONNECTED,1848,49152.0,0.084588975,-0.0053092283,0.5345318,0.007187471,0.17567907,-9,onnx_tf_prefix_Mul_91;onnx_tf_prefix_Add_92;onnx_tf_prefix_MatMul_93;onnx_tf_prefix_Add_94;onnx_tf_prefix_Mul_95;onnx_tf_prefix_Add_96,44.79816285,0.48257856645202074
1672,FULLY_CONNECTED,8758,49152.0,0.05547252,0.001646068,0.72026396,0.0031065,0.11551981,34,onnx_tf_prefix_MatMul_2327;onnx_tf_prefix_Add_2328,29.45755155,0.4824798862239722
752,FULLY_CONNECTED,4937,49152.0,0.023664681,-0.00051156525,0.11428008,0.0005617668,0.04926541,-11,onnx_tf_prefix_MatMul_1092;onnx_tf_prefix_Add_1093,12.56267955,0.4811006383136555
1584,FULLY_CONNECTED,8391,49152.0,0.09788833,0.0038244007,0.71073157,0.009781829,0.20576987,32,onnx_tf_prefix_MatMul_2206;onnx_tf_prefix_Add_2207,52.47131685,0.4806492290350903
1000,FULLY_CONNECTED,5966,49152.0,0.04498286,-0.0012108868,0.3128915,0.0020590161,0.09502546,-17,onnx_tf_prefix_MatMul_1423;onnx_tf_prefix_Add_1424,24.231492300000003,0.4775181580132641
1420,FULLY_CONNECTED,7711,49152.0,0.051728185,0.0009689588,0.2338715,0.002706894,0.109226,19,onnx_tf_prefix_MatMul_1988;onnx_tf_prefix_Add_1989,27.85263,0.4763318210087737
1265,FULLY_CONNECTED,7071,49152.0,0.19601406,-0.0074913763,0.82235837,0.038539555,0.41247505,56,onnx_tf_prefix_Mul_1786;onnx_tf_prefix_Add_1787;onnx_tf_prefix_MatMul_1788;onnx_tf_prefix_Add_1789;onnx_tf_prefix_Mul_1790;onnx_tf_prefix_Add_1791,105.18113775,0.4759437893290286
1088,FULLY_CONNECTED,6333,49152.0,0.032973535,-0.002925595,0.2607829,0.0010996424,0.06967509,9,onnx_tf_prefix_MatMul_1544;onnx_tf_prefix_Add_1545,17.76714795,0.47593560973510896
847,FULLY_CONNECTED,5334,49152.0,0.022972777,0.0002643149,0.11607037,0.00052793673,0.04854655,-1,onnx_tf_prefix_Add_1228;onnx_tf_prefix_Mul_1229;onnx_tf_prefix_Add_1230;onnx_tf_prefix_MatMul_1231;onnx_tf_prefix_Add_1232,12.379370250000001,0.47329570913370095
1606,FULLY_CONNECTED,8487,49152.0,0.033397604,0.0030859096,0.17043339,0.0011360578,0.07158551,7,onnx_tf_prefix_Add_2245;onnx_tf_prefix_Mul_2246;onnx_tf_prefix_Add_2247;onnx_tf_prefix_MatMul_2250;onnx_tf_prefix_Add_2251,18.254305050000003,0.47084188590046966
258,FULLY_CONNECTED,2887,49152.0,0.108671695,0.004148178,0.6399511,0.0118317865,0.23444292,0,onnx_tf_prefix_MatMul_4361,59.7829446,0.4639680129348933
10,FULLY_CONNECTED,1856,49152.0,0.021852298,-0.0005047844,0.10228186,0.00047781097,0.04718138,-1,onnx_tf_prefix_Add_98;onnx_tf_prefix_Mul_99;onnx_tf_prefix_Add_100;onnx_tf_prefix_MatMul_101;onnx_tf_prefix_Add_102,12.0312519,0.4632947926940413
1084,FULLY_CONNECTED,6315,49152.0,0.07079818,-0.0016268151,0.3637919,0.0050250776,0.15334302,18,onnx_tf_prefix_MatMul_1536;onnx_tf_prefix_Add_1537,39.1024701,0.46228241585351526
1176,FULLY_CONNECTED,6700,49152.0,0.021196602,0.0012176182,0.09470856,0.00045251183,0.046021763,1,onnx_tf_prefix_MatMul_1665;onnx_tf_prefix_Add_1666,11.735549565,0.4622231757789873
