op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
PAD,223,153228.0,0.0053190705,1.7372582e-05,0.00932351,2.8306653e-05,0.018658448,-14,Pad
TRANSPOSE,227,153228.0,0.0,0.0,0.0,0.0,0.018658448,-14,transpose_1
CONV_2D,231,401408.0,0.0046583307,-3.4336324e-05,0.03332192,2.2051143e-05,0.015138178,-128,clip_by_value;clip_by_value/Minimum;transpose_2;Add;convolution_11;convolution;Const_104
TRANSPOSE,235,401408.0,0.0,0.0,0.0,0.0,0.015138178,-128,clip_by_value;clip_by_value/Minimum;transpose_2
PAD,239,415872.0,0.0,0.0,0.0,0.0,0.015138178,-128,Pad_1
TRANSPOSE,243,415872.0,0.0,0.0,0.0,0.0,0.015138178,-128,transpose_4
DEPTHWISE_CONV_2D,247,401408.0,0.013626975,-0.0014665562,0.08719562,0.0001879049,0.023529412,-128,clip_by_value_1;clip_by_value_1/Minimum;transpose_5;Add_1;convolution_11;depthwise;Const_102
TRANSPOSE,251,401408.0,0.0,0.0,0.0,0.0,0.023529412,-128,clip_by_value_1;clip_by_value_1/Minimum;transpose_5
TRANSPOSE,255,401408.0,0.0,0.0,0.0,0.0,0.023529412,-128,transpose_7
CONV_2D,259,200704.0,0.017134447,0.0019436299,0.08255045,0.00029754222,0.049208097,8,Add_2;convolution_1;Const_100
CONV_2D,263,1204224.0,0.0059655528,3.417486e-05,0.037280682,3.559233e-05,0.023529412,-128,clip_by_value_2;clip_by_value_2/Minimum;transpose_11;Add_3;convolution_25;convolution_2;Const_98
TRANSPOSE,267,1204224.0,0.0,0.0,0.0,0.0,0.023529412,-128,clip_by_value_2;clip_by_value_2/Minimum;transpose_11
PAD,271,1247616.0,0.0,0.0,0.0,0.0,0.023529412,-128,Pad_2
TRANSPOSE,275,1247616.0,0.0,0.0,0.0,0.0,0.023529412,-128,transpose_13
DEPTHWISE_CONV_2D,279,301056.0,0.0057990397,-0.00010733335,0.034852117,3.3644483e-05,0.02257661,-128,clip_by_value_3;clip_by_value_3/Minimum;transpose_14;Add_4;convolution_25;depthwise_1;Const_96
TRANSPOSE,283,301056.0,0.0,0.0,0.0,0.0,0.02257661,-128,clip_by_value_3;clip_by_value_3/Minimum;transpose_14
TRANSPOSE,287,301056.0,0.0,0.0,0.0,0.0,0.02257661,-128,transpose_16
CONV_2D,291,75264.0,0.010689826,0.0009108109,0.036001064,0.00011520342,0.03239175,-16,Add_5;convolution_5;convolution_3;Const_94
CONV_2D,295,451584.0,0.00265996,2.5702648e-05,0.011710275,7.0802216e-06,0.010187312,-128,clip_by_value_4;clip_by_value_4/Minimum;transpose_20;Add_6;depthwise_3;convolution_4;Const_92
TRANSPOSE,299,451584.0,0.0,0.0,0.0,0.0,0.010187312,-128,clip_by_value_4;clip_by_value_4/Minimum;transpose_20
PAD,303,484416.0,0.0,0.0,0.0,0.0,0.010187312,-128,Pad_3
TRANSPOSE,307,484416.0,0.0,0.0,0.0,0.0,0.010187312,-128,transpose_22
DEPTHWISE_CONV_2D,311,451584.0,0.0050124917,-5.510396e-05,0.04140402,2.5134726e-05,0.019886417,-128,clip_by_value_5;clip_by_value_5/Minimum;transpose_23;Add_7;depthwise_3;depthwise_2;Const_90
TRANSPOSE,315,451584.0,0.0,0.0,0.0,0.0,0.019886417,-128,clip_by_value_5;clip_by_value_5/Minimum;transpose_23
TRANSPOSE,319,451584.0,0.0,0.0,0.0,0.0,0.019886417,-128,transpose_25
CONV_2D,323,75264.0,0.013773829,0.0009813244,0.046030704,0.00019078409,0.04465896,-16,Add_8;convolution_5;Const_88
ADD,327,75264.0,0.016445683,-4.440256e-06,0.028437333,0.00027046519,0.056891948,-10,onnx_tf_prefix_Add_15
CONV_2D,331,451584.0,0.0031806624,2.9652338e-05,0.018010048,1.0118233e-05,0.0134981545,-128,clip_by_value_6;clip_by_value_6/Minimum;transpose_29;Add_9;depthwise_3;convolution_6;Const_86
TRANSPOSE,335,451584.0,0.0,0.0,0.0,0.0,0.0134981545,-128,clip_by_value_6;clip_by_value_6/Minimum;transpose_29
PAD,339,484416.0,0.0,0.0,0.0,0.0,0.0134981545,-128,Pad_4
TRANSPOSE,343,484416.0,0.0,0.0,0.0,0.0,0.0134981545,-128,transpose_31
DEPTHWISE_CONV_2D,347,112896.0,0.0030199469,-8.061506e-05,0.014271303,9.1278425e-06,0.011659375,-128,clip_by_value_7;clip_by_value_7/Minimum;transpose_32;Add_10;depthwise_3;Const_84
TRANSPOSE,351,112896.0,0.0,0.0,0.0,0.0,0.011659375,-128,clip_by_value_7;clip_by_value_7/Minimum;transpose_32
