,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
86,FULLY_CONNECTED,449,1000.0,0.05951228,0.0015265626,0.23329592,0.0035576462,0.11558232,-57,PartitionedCall:0,29.4734916,0.5160478472000518
10,CONV_2D,139,193600.0,0.004452145,0.0003175379,0.042621735,1.9998803e-05,0.013022369,-128,onnx_tf_prefix_Relu_4;Add_2;convolution_4;convolution_1;Const_38,3.320704095,0.3434092617348391
32,CONV_2D,227,100352.0,0.008903932,-6.998927e-06,0.053485814,7.9364334e-05,0.026042804,-11,Add_7;convolution_9;convolution_6;Const_28,6.64091502,0.3420778434663922
19,CONV_2D,175,193600.0,0.0038188805,-2.1252541e-05,0.031605,1.461683e-05,0.011385834,-128,onnx_tf_prefix_Relu_9;Add_4;convolution_4;convolution_3;Const_34,2.90338767,0.33578535456927905
51,CONV_2D,303,50176.0,0.00777826,-5.174505e-06,0.042953167,6.0528422e-05,0.023980118,-30,Add_12;convolution_14;convolution_11;Const_18,6.1149300900000005,0.3244354933483488
71,CONV_2D,383,25088.0,0.006019348,0.00018415342,0.027904147,3.6272337e-05,0.01886232,0,Add_18;convolution_19;convolution_17;Const_6,4.809891599999999,0.31929539900765747
70,CONV_2D,379,25088.0,0.010533259,-1.0647155e-05,0.051351093,0.00011096459,0.033179946,2,Add_17;convolution_19;convolution_16;Const_8,8.46088623,0.31748011689282063
33,CONV_2D,231,100352.0,0.008311844,2.6183407e-06,0.037785076,6.910535e-05,0.02621306,28,Add_8;convolution_9;convolution_7;Const_26,6.6843303,0.3171305741898645
80,CONV_2D,419,25088.0,0.047741685,6.35912e-05,0.225709,0.0022798814,0.15131052,-38,Add_20;convolution_19;Const_2,38.5841826,0.3155636741402026
23,CONV_2D,191,193600.0,0.012043074,-0.0001506134,0.05099748,0.00014510796,0.038973633,36,Add_5;convolution_4;Const_32,9.938276415,0.30908272112294743
14,CONV_2D,155,193600.0,0.010432925,0.00012613198,0.043369196,0.00010890796,0.034162357,22,Add_3;convolution_4;convolution_2;Const_36,8.711401035,0.3054794392974015
