op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
PAD,231,158700.0,0.0052907406,0.00011975756,0.00931833,2.807136e-05,0.018658448,-14,Pad
TRANSPOSE,235,158700.0,0.0,0.0,0.0,0.0,0.018658448,-14,transpose_1
CONV_2D,239,802816.0,0.006105816,-0.00011873203,0.052611466,3.816343e-05,0.017256714,-128,onnx_tf_prefix_Relu_1;Add;convolution_9;convolution;Const_106
TRANSPOSE,243,802816.0,0.0,0.0,0.0,0.0,0.017256714,-128,transpose_2
PADV2,247,802816.0,0.0,0.0,0.0,0.0,0.017256714,-128,PadV2
TRANSPOSE,251,802816.0,0.0,0.0,0.0,0.0,0.017256714,-128,transpose_3
MAX_POOL_2D,255,193600.0,0.0,0.0,0.0,0.0,0.017256714,-128,MaxPool2d
CONV_2D,259,774400.0,0.0077751726,0.0005079147,0.060941216,6.079102e-05,0.024638878,18,Add_5;convolution_41;convolution_4;Const_98
CONV_2D,263,193600.0,0.0022649562,0.00012206586,0.019579494,5.172483e-06,0.005928004,-128,onnx_tf_prefix_Relu_4;Add_2;convolution_9;convolution_1;Const_104
TRANSPOSE,267,193600.0,0.0,0.0,0.0,0.0,0.005928004,-128,transpose_7
PAD,271,207936.0,0.0,0.0,0.0,0.0,0.005928004,-128,Pad_1
TRANSPOSE,275,207936.0,0.0,0.0,0.0,0.0,0.005928004,-128,transpose_9
CONV_2D,279,193600.0,0.0021465155,0.00010416846,0.013046636,4.640387e-06,0.007404678,-128,onnx_tf_prefix_Relu_6;Add_3;convolution_9;convolution_2;Const_102
CONV_2D,283,774400.0,0.003882967,7.1759016e-05,0.016639905,1.5084346e-05,0.013152464,-15,Add_4;convolution_41;convolution_3;Const_100
ADD,287,774400.0,0.002144319,-5.3131662e-05,0.0049663726,4.6141345e-06,0.009934843,-128,onnx_tf_prefix_Relu_10;onnx_tf_prefix_Add_9
CONV_2D,291,193600.0,0.0013925025,9.041575e-05,0.010679961,1.9554927e-06,0.006146351,-128,onnx_tf_prefix_Relu_12;Add_6;convolution_9;convolution_5;Const_96
TRANSPOSE,295,193600.0,0.0,0.0,0.0,0.0,0.006146351,-128,transpose_19
PAD,299,207936.0,0.0,0.0,0.0,0.0,0.006146351,-128,Pad_2
TRANSPOSE,303,207936.0,0.0,0.0,0.0,0.0,0.006146351,-128,transpose_21
CONV_2D,307,193600.0,0.00233088,0.00012293604,0.019215725,5.471771e-06,0.008801273,-128,onnx_tf_prefix_Relu_14;Add_7;convolution_9;convolution_6;Const_94
CONV_2D,311,774400.0,0.0037142395,-0.00031577313,0.01819243,1.3897385e-05,0.012363787,6,Add_8;convolution_41;convolution_7;Const_92
ADD,315,774400.0,0.003263869,0.00017482089,0.010273218,1.06897605e-05,0.013934619,-128,onnx_tf_prefix_Relu_17;onnx_tf_prefix_Add_16
CONV_2D,319,193600.0,0.0015107855,9.1147695e-06,0.013207849,2.2865447e-06,0.006193317,-128,onnx_tf_prefix_Relu_19;Add_9;convolution_9;convolution_8;Const_90
TRANSPOSE,323,193600.0,0.0,0.0,0.0,0.0,0.006193317,-128,transpose_28
PAD,327,207936.0,0.0,0.0,0.0,0.0,0.006193317,-128,Pad_3
TRANSPOSE,331,207936.0,0.0,0.0,0.0,0.0,0.006193317,-128,transpose_30
CONV_2D,335,193600.0,0.002001452,-6.85372e-05,0.026994253,4.017516e-06,0.008720064,-128,onnx_tf_prefix_Relu_21;Add_10;convolution_9;Const_88
CONV_2D,339,774400.0,0.0046721627,-0.0010245567,0.01988647,2.2879738e-05,0.016741555,17,Add_11;convolution_41;convolution_10;Const_86
ADD,343,774400.0,0.0031130114,-0.00071331277,0.0068561924,1.0215855e-05,0.013717478,-128,onnx_tf_prefix_Relu_24;onnx_tf_prefix_Add_23
CONV_2D,347,387200.0,0.0024302073,-1.4311299e-05,0.018974388,5.909423e-06,0.011526797,-128,onnx_tf_prefix_Relu_26;Add_12;convolution_22;convolution_11;Const_84
TRANSPOSE,351,387200.0,0.0,0.0,0.0,0.0,0.011526797,-128,transpose_37
PAD,355,415872.0,0.0,0.0,0.0,0.0,0.011526797,-128,Pad_4
TRANSPOSE,359,415872.0,0.0,0.0,0.0,0.0,0.011526797,-128,transpose_39
CONV_2D,363,100352.0,0.0019372947,3.285674e-07,0.017570041,3.7558418e-06,0.00807703,-128,onnx_tf_prefix_Relu_28;Add_13;convolution_22;convolution_12;Const_82
CONV_2D,367,401408.0,0.0060249744,-7.64074e-06,0.02889517,3.63026e-05,0.021584978,-10,Add_14;convolution_51;convolution_13;Const_80
CONV_2D,371,401408.0,0.0047336575,0.000113644965,0.032405198,2.2426017e-05,0.015894592,5,Add_15;convolution_51;convolution_14;Const_78
ADD,375,401408.0,0.002812544,-5.8082634e-05,0.010638031,7.91482e-06,0.013993824,-128,onnx_tf_prefix_Relu_32;onnx_tf_prefix_Add_31
CONV_2D,379,100352.0,0.0011090108,-5.6163863e-06,0.007800494,1.2316849e-06,0.004411022,-128,onnx_tf_prefix_Relu_34;Add_16;convolution_22;convolution_15;Const_76
TRANSPOSE,383,100352.0,0.0,0.0,0.0,0.0,0.004411022,-128,transpose_49
PAD,387,115200.0,0.0,0.0,0.0,0.0,0.004411022,-128,Pad_5
TRANSPOSE,391,115200.0,0.0,0.0,0.0,0.0,0.004411022,-128,transpose_51
CONV_2D,395,100352.0,0.0019168225,2.7235357e-05,0.016928492,3.6772872e-06,0.006168194,-128,onnx_tf_prefix_Relu_36;Add_17;convolution_22;convolution_16;Const_74
